Time,num_cases
202.75,5369700
203,5369700
203.25,5369700
203.5,5369700
203.75,5369700
204,5369700
204.25,5369700
204.5,5369700
204.75,5369700
205,5369700
205.25,5369700
205.5,5369700
205.75,5369700
206,5369700
206.25,5369700
206.5,5369700
206.75,5369700
207,5369700
207.25,5369700
207.5,5369700
207.75,5369700
208,5369700
208.25,5369700
208.5,5369700
208.75,5369700
209,5369700
209.25,5369700
209.5,5369700
209.75,5369700
210,5369700
210.25,5369700
210.5,5369700
210.75,5369700
211,5369700
211.25,5369700
211.5,5369700
211.75,5369700
212,5369700
212.25,5369700
212.5,5369700
212.75,5369700
213,5369700
213.25,5369700
213.5,5369700
213.75,5369700
214,5369700
214.25,5369700
214.5,5369700
214.75,5369700
215,5369700
215.25,5369700
215.5,5369700
215.75,5369700
216,5369700
216.25,5369700
216.5,5369700
216.75,5369700
217,5369700
217.25,5369700
217.5,5369700
217.75,5369700
218,5369700
218.25,5369700
218.5,5369700
218.75,5369700
219,5369700
219.25,5369700
219.5,5369700
219.75,5369700
220,5369700
220.25,5369700
220.5,5369700
220.75,5369700
221,5369700
221.25,5369700
221.5,5369700
221.75,5369700
222,5369700
222.25,5369700
222.5,5369700
222.75,5369700
223,5369700
223.25,5369700
223.5,5369700
223.75,5369700
224,5369700
224.25,5369700
224.5,5369700
224.75,5369700
225,5369700
225.25,5369700
225.5,5369700
225.75,5369700
226,5369700
226.25,5369700
226.5,5369700
226.75,5369700
227,5369700
227.25,5369700
227.5,5369700
227.75,5369700
228,5369700
228.25,5369700
228.5,5369700
228.75,5369700
229,5369700
229.25,5369700
229.5,5369700
229.75,5369700
230,5369700
230.25,5369700
230.5,5369700
230.75,5369700
231,5369700
231.25,5369700
231.5,5369700
231.75,5369700
232,5369700
232.25,5369700
232.5,5369700
232.75,5369700
233,5369700
233.25,5369700
233.5,5369700
233.75,5369700
234,5369700
234.25,5369700
234.5,5369700
234.75,5369700
235,5369700
235.25,5369700
235.5,5369700
235.75,5369700
236,5369700
236.25,5369700
236.5,5369700
236.75,5369700
237,5369700
237.25,5369700
237.5,5369700
237.75,5369700
238,5369700
238.25,5369700
238.5,5369700
238.75,5369700
239,5369700
239.25,5369700
239.5,5369700
239.75,5369700
240,5369700
240.25,5369700
240.5,5369700
240.75,5369700
241,5369700
241.25,5369700
241.5,5369700
241.75,5369700
242,5369700
242.25,5369700
242.5,5369700
242.75,5369700
243,5369700
243.25,5369700
243.5,5369700
243.75,5369700
244,5369700
244.25,5369700
244.5,5369700
244.75,5369700
245,5369700
245.25,5369700
245.5,5369700
245.75,5369700
246,5369700
246.25,5369700
246.5,5369700
246.75,5369700
247,5369700
247.25,5369700
247.5,5369700
247.75,5369700
248,5369700
248.25,5369700
248.5,5369700
248.75,5369700
249,5369700
249.25,5369700
249.5,5369700
249.75,5369700
250,5369700
250.25,5369700
250.5,5369700
250.75,5369700
251,5369700
251.25,5369700
251.5,5369700
251.75,5369700
252,5369700
252.25,5369700
252.5,5369700
252.75,5369700
253,5369700
253.25,5369700
253.5,5369700
253.75,5369700
254,5369700
254.25,5369700
254.5,5369700
254.75,5369700
255,5369700
255.25,5369700
255.5,5369700
255.75,5369700
256,5369700
256.25,5369700
256.5,5369700
256.75,5369700
257,5369700
257.25,5369700
257.5,5369700
257.75,5369700
258,5369700
258.25,5369700
258.5,5369700
258.75,5369700
259,5369700
259.25,5369700
259.5,5369700
259.75,5369700
260,5369700
260.25,5369700
260.5,5369700
260.75,5369700
261,5369700
261.25,5369700
261.5,5369700
261.75,5369700
262,5369700
262.25,5369700
262.5,5369700
262.75,5369700
263,5369700
263.25,5369700
