Time,cumulative_mean_fraction_lambda_W
183.75,0.52011
184,0.52011
184.25,0.52011
184.5,0.52011
184.75,0.52011
185,0.52011
185.25,0.52011
185.5,0.52011
185.75,0.52011
186,0.52011
186.25,0.52011
186.5,0.52011
186.75,0.52011
187,0.52011
187.25,0.52011
187.5,0.52011
187.75,0.52011
188,0.52011
188.25,0.52011
188.5,0.52011
188.75,0.52011
189,0.52011
189.25,0.52011
189.5,0.52011
189.75,0.52011
190,0.52011
190.25,0.52011
190.5,0.52011
190.75,0.52011
191,0.52011
191.25,0.52011
191.5,0.52011
191.75,0.52011
192,0.52011
192.25,0.52011
192.5,0.52011
192.75,0.52011
193,0.52011
193.25,0.52011
193.5,0.52011
193.75,0.52011
194,0.52011
194.25,0.52011
194.5,0.52011
194.75,0.52011
195,0.52011
195.25,0.52011
195.5,0.52011
195.75,0.52011
196,0.52011
196.25,0.52011
196.5,0.52011
196.75,0.52011
197,0.52011
197.25,0.52011
197.5,0.52011
197.75,0.52011
198,0.52011
198.25,0.52011
198.5,0.52011
198.75,0.52011
199,0.52011
199.25,0.52011
199.5,0.52011
199.75,0.52011
200,0.52011
200.25,0.52011
200.5,0.52011
200.75,0.52011
201,0.52011
201.25,0.52011
201.5,0.52011
201.75,0.52011
202,0.52011
202.25,0.52011
202.5,0.52011
202.75,0.52011
203,0.52011
203.25,0.52011
203.5,0.52011
203.75,0.52011
204,0.52011
204.25,0.52011
204.5,0.52011
204.75,0.52011
205,0.52011
205.25,0.52011
205.5,0.52011
205.75,0.52011
206,0.52011
206.25,0.52011
206.5,0.52011
206.75,0.52011
207,0.52011
207.25,0.52011
207.5,0.52011
207.75,0.52011
208,0.52011
208.25,0.52011
208.5,0.52011
208.75,0.52011
209,0.52011
209.25,0.52011
209.5,0.52011
209.75,0.52011
210,0.52011
210.25,0.52011
210.5,0.52011
210.75,0.52011
211,0.52011
211.25,0.52011
211.5,0.52011
211.75,0.52011
212,0.52011
212.25,0.52011
212.5,0.52011
212.75,0.52011
213,0.52011
213.25,0.52011
213.5,0.52011
213.75,0.52011
214,0.52011
214.25,0.52011
214.5,0.52011
214.75,0.52011
215,0.52011
215.25,0.52011
215.5,0.52011
215.75,0.52011
216,0.52011
216.25,0.52011
216.5,0.52011
216.75,0.52011
217,0.52011
217.25,0.52011
217.5,0.52011
217.75,0.52011
218,0.52011
218.25,0.52011
218.5,0.52011
218.75,0.52011
219,0.52011
219.25,0.52011
219.5,0.52011
219.75,0.52011
220,0.52011
220.25,0.52011
220.5,0.52011
220.75,0.52011
221,0.52011
221.25,0.52011
221.5,0.52011
221.75,0.52011
222,0.52011
222.25,0.52011
222.5,0.52011
222.75,0.52011
223,0.52011
223.25,0.52011
223.5,0.52011
223.75,0.52011
224,0.52011
224.25,0.52011
224.5,0.52011
224.75,0.52011
225,0.52011
225.25,0.52011
225.5,0.52011
225.75,0.52011
226,0.52011
226.25,0.52011
226.5,0.52011
226.75,0.52011
227,0.52011
227.25,0.52011
227.5,0.52011
227.75,0.52011
228,0.52011
228.25,0.52011
228.5,0.52011
228.75,0.52011
229,0.52011
229.25,0.52011
229.5,0.52011
229.75,0.52011
230,0.52011
230.25,0.52011
230.5,0.52011
230.75,0.52011
231,0.52011
231.25,0.52011
231.5,0.52011
231.75,0.52011
232,0.52011
232.25,0.52011
232.5,0.52011
232.75,0.52011
233,0.52011
233.25,0.52011
233.5,0.52011
233.75,0.52011
234,0.52011
234.25,0.52011
234.5,0.52011
234.75,0.52011
235,0.52011
235.25,0.52011
235.5,0.52011
235.75,0.52011
236,0.52011
236.25,0.52011
236.5,0.52011
236.75,0.52011
237,0.52011
237.25,0.52011
237.5,0.52011
237.75,0.52011
238,0.52011
238.25,0.52011
238.5,0.52011
238.75,0.52011
239,0.52011
239.25,0.52011
239.5,0.52011
239.75,0.52011
240,0.52011
240.25,0.52011
240.5,0.52011
240.75,0.52011
241,0.52011
241.25,0.52011
241.5,0.52011
241.75,0.52011
242,0.52011
242.25,0.52011
242.5,0.52011
242.75,0.52011
243,0.52011
243.25,0.52011
243.5,0.52011
243.75,0.52011
244,0.52011
244.25,0.52011
244.5,0.52011
244.75,0.52011
245,0.52011
245.25,0.52011
245.5,0.52011
245.75,0.52011
246,0.52011
246.25,0.52011
246.5,0.52011
246.75,0.52011
247,0.52011
247.25,0.52011
247.5,0.52011
247.75,0.52011
248,0.52011
248.25,0.52011
248.5,0.52011
248.75,0.52011
249,0.52011
249.25,0.52011
249.5,0.52011
249.75,0.52011
250,0.52011
250.25,0.52011
250.5,0.52011
250.75,0.52011
251,0.52011
251.25,0.52011
251.5,0.52011
251.75,0.52011
252,0.52011
252.25,0.52011
252.5,0.52011
252.75,0.52011
253,0.52011
253.25,0.52011
253.5,0.52011
253.75,0.52011
254,0.52011
254.25,0.52011
254.5,0.52011
254.75,0.52011
255,0.52011
255.25,0.52011
255.5,0.52011
255.75,0.52011
256,0.52011
256.25,0.52011
256.5,0.52011
256.75,0.52011
257,0.52011
257.25,0.52011
257.5,0.52011
257.75,0.52011
258,0.52011
258.25,0.52011
258.5,0.52011
258.75,0.52011
259,0.52011
259.25,0.52011
259.5,0.52011
259.75,0.52011
260,0.52011
260.25,0.52011
260.5,0.52011
260.75,0.52011
261,0.52011
261.25,0.52011
261.5,0.52011
261.75,0.52011
262,0.52011
262.25,0.52011
262.5,0.52011
262.75,0.52011
263,0.52011
263.25,0.52011
263.5,0.52011
263.75,0.52011
264,0.52011
264.25,0.52011
264.5,0.52011
264.75,0.52011
265,0.52011
265.25,0.52011
265.5,0.52011
265.75,0.52011
266,0.52011
266.25,0.52011
266.5,0.52011
266.75,0.52011
267,0.52011
267.25,0.52011
267.5,0.52011
267.75,0.52011
268,0.52011
268.25,0.52011
268.5,0.52011
268.75,0.52011
269,0.52011
269.25,0.52011
269.5,0.52011
269.75,0.52011
270,0.52011
270.25,0.52011
270.5,0.52011
270.75,0.52011
271,0.52011
271.25,0.52011
271.5,0.52011
271.75,0.52011
272,0.52011
272.25,0.52011
272.5,0.52011
272.75,0.52011
273,0.52011
273.25,0.52011
273.5,0.52011
273.75,0.52011
274,0.52011
274.25,0.52011
274.5,0.52011
274.75,0.52011
275,0.52011
275.25,0.52011
275.5,0.52011
275.75,0.52011
276,0.52011
276.25,0.52011
276.5,0.52011
276.75,0.52011
277,0.52011
277.25,0.52011
277.5,0.52011
277.75,0.52011
278,0.52011
278.25,0.52011
278.5,0.52011
278.75,0.52011
279,0.52011
279.25,0.52011
279.5,0.52011
279.75,0.52011
280,0.52011
280.25,0.52011
280.5,0.52011
280.75,0.52011
281,0.52011
281.25,0.52011
281.5,0.52011
281.75,0.52011
282,0.52011
282.25,0.52011
282.5,0.52011
282.75,0.52011
283,0.52011
283.25,0.52011
283.5,0.52011
283.75,0.52011
284,0.52011
284.25,0.52011
284.5,0.52011
284.75,0.52011
285,0.52011
285.25,0.52011
285.5,0.52011
285.75,0.52011
286,0.52011
286.25,0.52011
286.5,0.52011
286.75,0.52011
287,0.52011
287.25,0.52011
287.5,0.52011
287.75,0.52011
288,0.52011
288.25,0.52011
288.5,0.52011
288.75,0.52011
289,0.52011
289.25,0.52011
289.5,0.52011
289.75,0.52011
290,0.52011
290.25,0.52011
290.5,0.52011
290.75,0.52011
291,0.52011
291.25,0.52011
291.5,0.52011
291.75,0.52011
292,0.52011
292.25,0.52011
292.5,0.52011
292.75,0.52011
293,0.52011
293.25,0.52011
293.5,0.52011
293.75,0.52011
294,0.52011
294.25,0.52011
294.5,0.52011
294.75,0.52011
295,0.52011
295.25,0.52011
295.5,0.52011
295.75,0.52011
296,0.52011
296.25,0.52011
296.5,0.52011
296.75,0.52011
297,0.52011
297.25,0.52011
297.5,0.52011
297.75,0.52011
298,0.52011
298.25,0.52011
298.5,0.52011
298.75,0.52011
299,0.52011
299.25,0.52011
299.5,0.52011
299.75,0.52011
300,0.52011
300.25,0.52011
300.5,0.52011
300.75,0.52011
301,0.52011
301.25,0.52011
301.5,0.52011
301.75,0.52011
302,0.52011
302.25,0.52011
302.5,0.52011
302.75,0.52011
303,0.52011
303.25,0.52011
303.5,0.52011
303.75,0.52011
304,0.52011
304.25,0.52011
304.5,0.52011
304.75,0.52011
305,0.52011
305.25,0.52011
305.5,0.52011
305.75,0.52011
306,0.52011
306.25,0.52011
306.5,0.52011
306.75,0.52011
307,0.52011
307.25,0.52011
307.5,0.52011
307.75,0.52011
308,0.52011
308.25,0.52011
308.5,0.52011
308.75,0.52011
309,0.52011
309.25,0.52011
309.5,0.52011
309.75,0.52011
310,0.52011
310.25,0.52011
310.5,0.52011
310.75,0.52011
311,0.52011
311.25,0.52011
311.5,0.52011
311.75,0.52011
312,0.52011
312.25,0.52011
312.5,0.52011
312.75,0.52011
313,0.52011
313.25,0.52011
313.5,0.52011
313.75,0.52011
314,0.52011
314.25,0.52011
314.5,0.52011
314.75,0.52011
315,0.52011
315.25,0.52011
315.5,0.52011
315.75,0.52011
316,0.52011
316.25,0.52011
316.5,0.52011
316.75,0.52011
317,0.52011
317.25,0.52011
317.5,0.52011
317.75,0.52011
318,0.52011
318.25,0.52011
318.5,0.52011
318.75,0.52011
319,0.52011
319.25,0.52011
319.5,0.52011
319.75,0.52011
320,0.52011
320.25,0.52011
320.5,0.52011
320.75,0.52011
321,0.52011
321.25,0.52011
321.5,0.52011
321.75,0.52011
322,0.52011
322.25,0.52011
322.5,0.52011
322.75,0.52011
323,0.52011
323.25,0.52011
323.5,0.52011
323.75,0.52011
324,0.52011
324.25,0.52011
324.5,0.52011
324.75,0.52011
325,0.52011
325.25,0.52011
325.5,0.52011
325.75,0.52011
326,0.52011
326.25,0.52011
326.5,0.52011
326.75,0.52011
327,0.52011
327.25,0.52011
327.5,0.52011
327.75,0.52011
328,0.52011
328.25,0.52011
328.5,0.52011
328.75,0.52011
329,0.52011
329.25,0.52011
329.5,0.52011
329.75,0.52011
330,0.52011
330.25,0.52011
330.5,0.52011
330.75,0.52011
331,0.52011
331.25,0.52011
331.5,0.52011
331.75,0.52011
332,0.52011
332.25,0.52011
332.5,0.52011
332.75,0.52011
333,0.52011
333.25,0.52011
333.5,0.52011
333.75,0.52011
334,0.52011
334.25,0.52011
334.5,0.52011
334.75,0.52011
335,0.52011
335.25,0.52011
335.5,0.52011
335.75,0.52011
336,0.52011
336.25,0.52011
336.5,0.52011
336.75,0.52011
337,0.52011
337.25,0.52011
337.5,0.52011
337.75,0.52011
338,0.52011
338.25,0.52011
338.5,0.52011
338.75,0.52011
339,0.52011
339.25,0.52011
339.5,0.52011
339.75,0.52011
340,0.52011
340.25,0.52011
340.5,0.52011
340.75,0.52011
341,0.52011
341.25,0.52011
341.5,0.52011
341.75,0.52011
342,0.52011
342.25,0.52011
342.5,0.52011
342.75,0.52011
343,0.52011
343.25,0.52011
343.5,0.52011
343.75,0.52011
344,0.52011
344.25,0.52011
344.5,0.52011
344.75,0.52011
345,0.52011
345.25,0.52011
345.5,0.52011
345.75,0.52011
346,0.52011
346.25,0.52011
346.5,0.52011
346.75,0.52011
347,0.52011
347.25,0.52011
347.5,0.52011
347.75,0.52011
348,0.52011
348.25,0.52011
348.5,0.52011
348.75,0.52011
349,0.52011
349.25,0.52011
349.5,0.52011
349.75,0.52011
350,0.52011
350.25,0.52011
350.5,0.52011
350.75,0.52011
351,0.52011
351.25,0.52011
351.5,0.52011
351.75,0.52011
352,0.52011
352.25,0.52011
352.5,0.52011
352.75,0.52011
353,0.52011
353.25,0.52011
353.5,0.52011
353.75,0.52011
354,0.52011
354.25,0.52011
354.5,0.52011
354.75,0.52011
355,0.52011
355.25,0.52011
355.5,0.52011
355.75,0.52011
356,0.52011
356.25,0.52011
356.5,0.52011
356.75,0.52011
357,0.52011
357.25,0.52011
357.5,0.52011
357.75,0.52011
358,0.52011
358.25,0.52011
358.5,0.52011
358.75,0.52011
359,0.52011
359.25,0.52011
359.5,0.52011
359.75,0.52011
360,0.52011
360.25,0.52011
360.5,0.52011
360.75,0.52011
361,0.52011
361.25,0.52011
361.5,0.52011
361.75,0.52011
362,0.52011
362.25,0.52011
362.5,0.52011
362.75,0.52011
363,0.52011
363.25,0.52011
363.5,0.52011
363.75,0.52011
364,0.52011
364.25,0.52011
364.5,0.52011
364.75,0.52011
