Time,num_affected
215.25,8018309
215.5,8018309
215.75,8018309
216,8018309
216.25,8018309
216.5,8018309
216.75,8018309
217,8018309
217.25,8018309
217.5,8018309
217.75,8018309
218,8018309
218.25,8018309
218.5,8018309
218.75,8018309
219,8018309
219.25,8018309
219.5,8018309
219.75,8018309
220,8018309
220.25,8018309
220.5,8018309
220.75,8018309
221,8018309
221.25,8018309
221.5,8018309
221.75,8018309
222,8018309
222.25,8018309
222.5,8018309
222.75,8018309
223,8018309
223.25,8018309
223.5,8018309
223.75,8018309
224,8018309
224.25,8018309
224.5,8018309
224.75,8018309
225,8018309
225.25,8018309
225.5,8018309
225.75,8018309
226,8018309
226.25,8018309
226.5,8018309
226.75,8018309
227,8018309
227.25,8018309
227.5,8018309
227.75,8018309
228,8018309
228.25,8018309
228.5,8018309
228.75,8018309
229,8018309
229.25,8018309
229.5,8018309
229.75,8018309
230,8018309
230.25,8018309
230.5,8018309
230.75,8018309
231,8018309
231.25,8018309
231.5,8018309
231.75,8018309
232,8018309
232.25,8018309
232.5,8018309
232.75,8018309
233,8018309
233.25,8018309
233.5,8018309
233.75,8018309
234,8018309
234.25,8018309
234.5,8018309
234.75,8018309
235,8018309
235.25,8018309
235.5,8018309
235.75,8018309
236,8018309
236.25,8018309
236.5,8018309
236.75,8018309
237,8018309
237.25,8018309
237.5,8018309
237.75,8018309
238,8018309
238.25,8018309
238.5,8018309
238.75,8018309
239,8018309
239.25,8018309
239.5,8018309
239.75,8018309
240,8018309
240.25,8018309
240.5,8018309
240.75,8018309
241,8018309
241.25,8018309
241.5,8018309
241.75,8018309
242,8018309
242.25,8018309
242.5,8018309
242.75,8018309
243,8018309
243.25,8018309
243.5,8018309
243.75,8018309
244,8018309
244.25,8018309
244.5,8018309
244.75,8018309
245,8018309
245.25,8018309
245.5,8018309
245.75,8018309
246,8018309
246.25,8018309
246.5,8018309
246.75,8018309
247,8018309
247.25,8018309
247.5,8018309
247.75,8018309
248,8018309
248.25,8018309
248.5,8018309
248.75,8018309
249,8018309
249.25,8018309
249.5,8018309
249.75,8018309
250,8018309
250.25,8018309
250.5,8018309
250.75,8018309
251,8018309
251.25,8018309
251.5,8018309
251.75,8018309
252,8018309
252.25,8018309
252.5,8018309
252.75,8018309
253,8018309
253.25,8018309
253.5,8018309
253.75,8018309
254,8018309
254.25,8018309
254.5,8018309
254.75,8018309
255,8018309
255.25,8018309
255.5,8018309
255.75,8018309
256,8018309
256.25,8018309
256.5,8018309
256.75,8018309
257,8018309
257.25,8018309
257.5,8018309
257.75,8018309
258,8018309
258.25,8018309
258.5,8018309
258.75,8018309
259,8018309
259.25,8018309
259.5,8018309
259.75,8018309
260,8018309
260.25,8018309
260.5,8018309
260.75,8018309
261,8018309
261.25,8018309
261.5,8018309
261.75,8018309
262,8018309
262.25,8018309
262.5,8018309
262.75,8018309
263,8018309
263.25,8018309
263.5,8018309
263.75,8018309
264,8018309
264.25,8018309
264.5,8018309
264.75,8018309
265,8018309
265.25,8018309
265.5,8018309
265.75,8018309
266,8018309
266.25,8018309
266.5,8018309
266.75,8018309
267,8018309
267.25,8018309
267.5,8018309
267.75,8018309
268,8018309
268.25,8018309
268.5,8018309
268.75,8018309
269,8018309
269.25,8018309
269.5,8018309
269.75,8018309
270,8018309
270.25,8018309
270.5,8018309
270.75,8018309
271,8018309
271.25,8018309
271.5,8018309
271.75,8018309
272,8018309
272.25,8018309
272.5,8018309
272.75,8018309
273,8018309
273.25,8018309
273.5,8018309
273.75,8018309
274,8018309
274.25,8018309
274.5,8018309
274.75,8018309
275,8018309
275.25,8018309
275.5,8018309
275.75,8018309
276,8018309
276.25,8018309
276.5,8018309
276.75,8018309
277,8018309
277.25,8018309
277.5,8018309
277.75,8018309
278,8018309
278.25,8018309
278.5,8018309
278.75,8018309
279,8018309
279.25,8018309
279.5,8018309
279.75,8018309
280,8018309
280.25,8018309
280.5,8018309
280.75,8018309
281,8018309
281.25,8018309
281.5,8018309
281.75,8018309
282,8018309
282.25,8018309
282.5,8018309
282.75,8018309
283,8018309
283.25,8018309
283.5,8018309
283.75,8018309
284,8018309
284.25,8018309
284.5,8018309
284.75,8018309
285,8018309
285.25,8018309
285.5,8018309
285.75,8018309
286,8018309
286.25,8018309
286.5,8018309
286.75,8018309
287,8018309
287.25,8018309
287.5,8018309
287.75,8018309
288,8018309
288.25,8018309
288.5,8018309
288.75,8018309
289,8018309
289.25,8018309
289.5,8018309
289.75,8018309
290,8018309
290.25,8018309
290.5,8018309
290.75,8018309
291,8018309
291.25,8018309
291.5,8018309
291.75,8018309
292,8018309
292.25,8018309
292.5,8018309
292.75,8018309
293,8018309
293.25,8018309
293.5,8018309
293.75,8018309
294,8018309
294.25,8018309
294.5,8018309
294.75,8018309
295,8018309
295.25,8018309
295.5,8018309
295.75,8018309
296,8018309
296.25,8018309
296.5,8018309
296.75,8018309
297,8018309
297.25,8018309
297.5,8018309
297.75,8018309
298,8018309
298.25,8018309
298.5,8018309
298.75,8018309
299,8018309
299.25,8018309
299.5,8018309
299.75,8018309
300,8018309
300.25,8018309
300.5,8018309
300.75,8018309
301,8018309
301.25,8018309
301.5,8018309
301.75,8018309
302,8018309
302.25,8018309
302.5,8018309
302.75,8018309
303,8018309
303.25,8018309
303.5,8018309
303.75,8018309
304,8018309
304.25,8018309
304.5,8018309
304.75,8018309
305,8018309
305.25,8018309
305.5,8018309
305.75,8018309
306,8018309
306.25,8018309
306.5,8018309
306.75,8018309
307,8018309
307.25,8018309
307.5,8018309
307.75,8018309
308,8018309
308.25,8018309
308.5,8018309
308.75,8018309
309,8018309
309.25,8018309
309.5,8018309
309.75,8018309
310,8018309
310.25,8018309
310.5,8018309
310.75,8018309
311,8018309
311.25,8018309
311.5,8018309
311.75,8018309
312,8018309
312.25,8018309
312.5,8018309
312.75,8018309
313,8018309
313.25,8018309
313.5,8018309
313.75,8018309
314,8018309
314.25,8018309
314.5,8018309
314.75,8018309
315,8018309
315.25,8018309
315.5,8018309
315.75,8018309
316,8018309
316.25,8018309
316.5,8018309
316.75,8018309
317,8018309
317.25,8018309
317.5,8018309
317.75,8018309
318,8018309
318.25,8018309
318.5,8018309
318.75,8018309
319,8018309
319.25,8018309
319.5,8018309
319.75,8018309
320,8018309
320.25,8018309
320.5,8018309
320.75,8018309
321,8018309
321.25,8018309
321.5,8018309
321.75,8018309
322,8018309
322.25,8018309
322.5,8018309
322.75,8018309
323,8018309
323.25,8018309
323.5,8018309
323.75,8018309
324,8018309
324.25,8018309
324.5,8018309
324.75,8018309
325,8018309
325.25,8018309
325.5,8018309
325.75,8018309
326,8018309
326.25,8018309
326.5,8018309
326.75,8018309
327,8018309
327.25,8018309
327.5,8018309
327.75,8018309
328,8018309
328.25,8018309
328.5,8018309
328.75,8018309
329,8018309
329.25,8018309
329.5,8018309
329.75,8018309
330,8018309
330.25,8018309
330.5,8018309
330.75,8018309
331,8018309
331.25,8018309
331.5,8018309
331.75,8018309
332,8018309
332.25,8018309
332.5,8018309
332.75,8018309
333,8018309
333.25,8018309
333.5,8018309
333.75,8018309
334,8018309
334.25,8018309
334.5,8018309
334.75,8018309
335,8018309
335.25,8018309
335.5,8018309
335.75,8018309
336,8018309
336.25,8018309
336.5,8018309
336.75,8018309
337,8018309
337.25,8018309
337.5,8018309
337.75,8018309
338,8018309
338.25,8018309
338.5,8018309
338.75,8018309
339,8018309
339.25,8018309
339.5,8018309
339.75,8018309
340,8018309
340.25,8018309
340.5,8018309
340.75,8018309
341,8018309
341.25,8018309
341.5,8018309
341.75,8018309
342,8018309
342.25,8018309
342.5,8018309
342.75,8018309
343,8018309
343.25,8018309
343.5,8018309
343.75,8018309
344,8018309
344.25,8018309
344.5,8018309
344.75,8018309
345,8018309
345.25,8018309
345.5,8018309
345.75,8018309
346,8018309
346.25,8018309
346.5,8018309
346.75,8018309
347,8018309
347.25,8018309
347.5,8018309
347.75,8018309
348,8018309
348.25,8018309
348.5,8018309
348.75,8018309
349,8018309
349.25,8018309
349.5,8018309
349.75,8018309
350,8018309
350.25,8018309
350.5,8018309
350.75,8018309
351,8018309
351.25,8018309
351.5,8018309
351.75,8018309
352,8018309
352.25,8018309
352.5,8018309
352.75,8018309
353,8018309
353.25,8018309
353.5,8018309
353.75,8018309
354,8018309
354.25,8018309
354.5,8018309
354.75,8018309
355,8018309
355.25,8018309
355.5,8018309
355.75,8018309
356,8018309
356.25,8018309
356.5,8018309
356.75,8018309
357,8018309
357.25,8018309
357.5,8018309
357.75,8018309
358,8018309
358.25,8018309
358.5,8018309
358.75,8018309
359,8018309
359.25,8018309
359.5,8018309
359.75,8018309
360,8018309
360.25,8018309
360.5,8018309
360.75,8018309
361,8018309
361.25,8018309
361.5,8018309
361.75,8018309
362,8018309
362.25,8018309
362.5,8018309
362.75,8018309
363,8018309
363.25,8018309
363.5,8018309
363.75,8018309
364,8018309
364.25,8018309
364.5,8018309
364.75,8018309
