Time,num_recovered
253.25,7966343
253.5,7966343
253.75,7966343
254,7966343
254.25,7966343
254.5,7966343
254.75,7966343
255,7966343
255.25,7966343
255.5,7966343
255.75,7966343
256,7966343
256.25,7966343
256.5,7966343
256.75,7966343
257,7966343
257.25,7966343
257.5,7966343
257.75,7966343
258,7966343
258.25,7966343
258.5,7966343
258.75,7966343
259,7966343
259.25,7966343
259.5,7966343
259.75,7966343
260,7966343
260.25,7966343
260.5,7966343
260.75,7966343
261,7966343
261.25,7966343
261.5,7966343
261.75,7966343
262,7966343
262.25,7966343
262.5,7966343
262.75,7966343
263,7966343
263.25,7966343
263.5,7966343
263.75,7966343
264,7966343
264.25,7966343
264.5,7966343
264.75,7966343
265,7966343
265.25,7966343
265.5,7966343
265.75,7966343
266,7966343
266.25,7966343
266.5,7966343
266.75,7966343
267,7966343
267.25,7966343
267.5,7966343
267.75,7966343
268,7966343
268.25,7966343
268.5,7966343
268.75,7966343
269,7966343
269.25,7966343
269.5,7966343
269.75,7966343
270,7966343
270.25,7966343
270.5,7966343
270.75,7966343
271,7966343
271.25,7966343
271.5,7966343
271.75,7966343
272,7966343
272.25,7966343
272.5,7966343
272.75,7966343
273,7966343
273.25,7966343
273.5,7966343
273.75,7966343
274,7966343
274.25,7966343
274.5,7966343
274.75,7966343
275,7966343
275.25,7966343
275.5,7966343
275.75,7966343
276,7966343
276.25,7966343
276.5,7966343
276.75,7966343
277,7966343
277.25,7966343
277.5,7966343
277.75,7966343
278,7966343
278.25,7966343
278.5,7966343
278.75,7966343
279,7966343
279.25,7966343
279.5,7966343
279.75,7966343
280,7966343
280.25,7966343
280.5,7966343
280.75,7966343
281,7966343
281.25,7966343
281.5,7966343
281.75,7966343
282,7966343
282.25,7966343
282.5,7966343
282.75,7966343
283,7966343
283.25,7966343
283.5,7966343
283.75,7966343
284,7966343
284.25,7966343
284.5,7966343
284.75,7966343
285,7966343
285.25,7966343
285.5,7966343
285.75,7966343
286,7966343
286.25,7966343
286.5,7966343
286.75,7966343
287,7966343
287.25,7966343
287.5,7966343
287.75,7966343
288,7966343
288.25,7966343
288.5,7966343
288.75,7966343
289,7966343
289.25,7966343
289.5,7966343
289.75,7966343
290,7966343
290.25,7966343
290.5,7966343
290.75,7966343
291,7966343
291.25,7966343
291.5,7966343
291.75,7966343
292,7966343
292.25,7966343
292.5,7966343
292.75,7966343
293,7966343
293.25,7966343
293.5,7966343
293.75,7966343
294,7966343
294.25,7966343
294.5,7966343
294.75,7966343
295,7966343
295.25,7966343
295.5,7966343
295.75,7966343
296,7966343
296.25,7966343
296.5,7966343
296.75,7966343
297,7966343
297.25,7966343
297.5,7966343
297.75,7966343
298,7966343
298.25,7966343
298.5,7966343
298.75,7966343
299,7966343
299.25,7966343
299.5,7966343
299.75,7966343
300,7966343
300.25,7966343
300.5,7966343
300.75,7966343
301,7966343
301.25,7966343
301.5,7966343
301.75,7966343
302,7966343
302.25,7966343
302.5,7966343
302.75,7966343
303,7966343
303.25,7966343
303.5,7966343
303.75,7966343
304,7966343
304.25,7966343
304.5,7966343
304.75,7966343
305,7966343
305.25,7966343
305.5,7966343
305.75,7966343
306,7966343
306.25,7966343
306.5,7966343
306.75,7966343
307,7966343
307.25,7966343
307.5,7966343
307.75,7966343
308,7966343
308.25,7966343
308.5,7966343
308.75,7966343
309,7966343
309.25,7966343
309.5,7966343
309.75,7966343
310,7966343
310.25,7966343
310.5,7966343
310.75,7966343
311,7966343
311.25,7966343
311.5,7966343
311.75,7966343
312,7966343
312.25,7966343
312.5,7966343
312.75,7966343
313,7966343
313.25,7966343
313.5,7966343
313.75,7966343
314,7966343
314.25,7966343
314.5,7966343
314.75,7966343
315,7966343
315.25,7966343
315.5,7966343
315.75,7966343
316,7966343
316.25,7966343
316.5,7966343
316.75,7966343
317,7966343
317.25,7966343
317.5,7966343
317.75,7966343
318,7966343
318.25,7966343
318.5,7966343
318.75,7966343
319,7966343
319.25,7966343
319.5,7966343
319.75,7966343
320,7966343
320.25,7966343
320.5,7966343
320.75,7966343
321,7966343
321.25,7966343
321.5,7966343
321.75,7966343
322,7966343
322.25,7966343
322.5,7966343
322.75,7966343
323,7966343
323.25,7966343
323.5,7966343
323.75,7966343
324,7966343
324.25,7966343
324.5,7966343
324.75,7966343
325,7966343
325.25,7966343
325.5,7966343
325.75,7966343
326,7966343
326.25,7966343
326.5,7966343
326.75,7966343
327,7966343
327.25,7966343
327.5,7966343
327.75,7966343
328,7966343
328.25,7966343
328.5,7966343
328.75,7966343
329,7966343
329.25,7966343
329.5,7966343
329.75,7966343
330,7966343
330.25,7966343
330.5,7966343
330.75,7966343
331,7966343
331.25,7966343
331.5,7966343
331.75,7966343
332,7966343
332.25,7966343
332.5,7966343
332.75,7966343
333,7966343
333.25,7966343
333.5,7966343
333.75,7966343
334,7966343
334.25,7966343
334.5,7966343
334.75,7966343
335,7966343
335.25,7966343
335.5,7966343
335.75,7966343
336,7966343
336.25,7966343
336.5,7966343
336.75,7966343
337,7966343
337.25,7966343
337.5,7966343
337.75,7966343
338,7966343
338.25,7966343
338.5,7966343
338.75,7966343
339,7966343
339.25,7966343
339.5,7966343
339.75,7966343
340,7966343
340.25,7966343
340.5,7966343
340.75,7966343
341,7966343
341.25,7966343
341.5,7966343
341.75,7966343
342,7966343
342.25,7966343
342.5,7966343
342.75,7966343
343,7966343
343.25,7966343
343.5,7966343
343.75,7966343
344,7966343
344.25,7966343
344.5,7966343
344.75,7966343
345,7966343
345.25,7966343
345.5,7966343
345.75,7966343
346,7966343
346.25,7966343
346.5,7966343
346.75,7966343
347,7966343
347.25,7966343
347.5,7966343
347.75,7966343
348,7966343
348.25,7966343
348.5,7966343
348.75,7966343
349,7966343
349.25,7966343
349.5,7966343
349.75,7966343
350,7966343
350.25,7966343
350.5,7966343
350.75,7966343
351,7966343
351.25,7966343
351.5,7966343
351.75,7966343
352,7966343
352.25,7966343
352.5,7966343
352.75,7966343
353,7966343
353.25,7966343
353.5,7966343
353.75,7966343
354,7966343
354.25,7966343
354.5,7966343
354.75,7966343
355,7966343
355.25,7966343
355.5,7966343
355.75,7966343
356,7966343
356.25,7966343
356.5,7966343
356.75,7966343
357,7966343
357.25,7966343
357.5,7966343
357.75,7966343
358,7966343
358.25,7966343
358.5,7966343
358.75,7966343
