Time,cumulative_mean_fraction_lambda_H
297,0.269758
297.25,0.269758
297.5,0.269758
297.75,0.269758
298,0.269758
298.25,0.269758
298.5,0.269758
298.75,0.269758
299,0.269758
299.25,0.269758
299.5,0.269758
299.75,0.269758
300,0.269758
300.25,0.269758
300.5,0.269758
300.75,0.269758
301,0.269758
301.25,0.269758
301.5,0.269758
301.75,0.269758
302,0.269758
302.25,0.269758
302.5,0.269758
302.75,0.269758
303,0.269758
303.25,0.269758
303.5,0.269758
303.75,0.269758
304,0.269758
304.25,0.269758
304.5,0.269758
304.75,0.269758
305,0.269758
305.25,0.269758
305.5,0.269758
305.75,0.269758
306,0.269758
306.25,0.269758
306.5,0.269758
306.75,0.269758
307,0.269758
307.25,0.269758
307.5,0.269758
307.75,0.269758
308,0.269758
308.25,0.269758
308.5,0.269758
308.75,0.269758
309,0.269758
309.25,0.269758
309.5,0.269758
309.75,0.269758
310,0.269758
310.25,0.269758
310.5,0.269758
310.75,0.269758
311,0.269758
311.25,0.269758
311.5,0.269758
311.75,0.269758
312,0.269758
312.25,0.269758
312.5,0.269758
312.75,0.269758
313,0.269758
313.25,0.269758
313.5,0.269758
313.75,0.269758
314,0.269758
314.25,0.269758
314.5,0.269758
314.75,0.269758
315,0.269758
315.25,0.269758
315.5,0.269758
315.75,0.269758
316,0.269758
316.25,0.269758
316.5,0.269758
316.75,0.269758
317,0.269758
317.25,0.269758
317.5,0.269758
317.75,0.269758
318,0.269758
318.25,0.269758
318.5,0.269758
318.75,0.269758
319,0.269758
319.25,0.269758
319.5,0.269758
319.75,0.269758
320,0.269758
320.25,0.269758
320.5,0.269758
320.75,0.269758
321,0.269758
321.25,0.269758
321.5,0.269758
321.75,0.269758
322,0.269758
322.25,0.269758
322.5,0.269758
322.75,0.269758
323,0.269758
323.25,0.269758
323.5,0.269758
323.75,0.269758
324,0.269758
324.25,0.269758
324.5,0.269758
324.75,0.269758
325,0.269758
325.25,0.269758
325.5,0.269758
325.75,0.269758
326,0.269758
326.25,0.269758
326.5,0.269758
326.75,0.269758
327,0.269758
327.25,0.269758
327.5,0.269758
327.75,0.269758
328,0.269758
328.25,0.269758
328.5,0.269758
328.75,0.269758
329,0.269758
329.25,0.269758
329.5,0.269758
329.75,0.269758
330,0.269758
330.25,0.269758
330.5,0.269758
330.75,0.269758
331,0.269758
331.25,0.269758
331.5,0.269758
331.75,0.269758
332,0.269758
332.25,0.269758
332.5,0.269758
332.75,0.269758
333,0.269758
333.25,0.269758
333.5,0.269758
333.75,0.269758
334,0.269758
334.25,0.269758
334.5,0.269758
334.75,0.269758
335,0.269758
335.25,0.269758
335.5,0.269758
335.75,0.269758
336,0.269758
336.25,0.269758
336.5,0.269758
336.75,0.269758
337,0.269758
337.25,0.269758
337.5,0.269758
337.75,0.269758
338,0.269758
338.25,0.269758
338.5,0.269758
338.75,0.269758
339,0.269758
339.25,0.269758
339.5,0.269758
339.75,0.269758
340,0.269758
340.25,0.269758
340.5,0.269758
340.75,0.269758
341,0.269758
341.25,0.269758
341.5,0.269758
341.75,0.269758
342,0.269758
342.25,0.269758
342.5,0.269758
342.75,0.269758
343,0.269758
343.25,0.269758
343.5,0.269758
343.75,0.269758
344,0.269758
344.25,0.269758
344.5,0.269758
344.75,0.269758
345,0.269758
345.25,0.269758
345.5,0.269758
345.75,0.269758
346,0.269758
346.25,0.269758
346.5,0.269758
346.75,0.269758
347,0.269758
347.25,0.269758
347.5,0.269758
347.75,0.269758
348,0.269758
348.25,0.269758
348.5,0.269758
348.75,0.269758
349,0.269758
349.25,0.269758
349.5,0.269758
349.75,0.269758
350,0.269758
350.25,0.269758
350.5,0.269758
350.75,0.269758
351,0.269758
351.25,0.269758
351.5,0.269758
351.75,0.269758
352,0.269758
352.25,0.269758
352.5,0.269758
352.75,0.269758
353,0.269758
353.25,0.269758
353.5,0.269758
353.75,0.269758
354,0.269758
354.25,0.269758
354.5,0.269758
354.75,0.269758
355,0.269758
355.25,0.269758
355.5,0.269758
355.75,0.269758
356,0.269758
356.25,0.269758
356.5,0.269758
356.75,0.269758
357,0.269758
357.25,0.269758
357.5,0.269758
357.75,0.269758
358,0.269758
358.25,0.269758
358.5,0.269758
358.75,0.269758
359,0.269758
359.25,0.269758
359.5,0.269758
359.75,0.269758
360,0.269758
360.25,0.269758
360.5,0.269758
360.75,0.269758
361,0.269758
361.25,0.269758
361.5,0.269758
361.75,0.269758
362,0.269758
362.25,0.269758
362.5,0.269758
362.75,0.269758
363,0.269758
363.25,0.269758
363.5,0.269758
363.75,0.269758
364,0.269758
364.25,0.269758
364.5,0.269758
364.75,0.269758
