Time,num_cumulative_hospitalizations
249,358283
249.25,358283
249.5,358283
249.75,358283
250,358283
250.25,358283
250.5,358283
250.75,358283
251,358283
251.25,358283
251.5,358283
251.75,358283
252,358283
252.25,358283
252.5,358283
252.75,358283
253,358283
253.25,358283
253.5,358283
253.75,358283
254,358283
254.25,358283
254.5,358283
254.75,358283
255,358283
255.25,358283
255.5,358283
255.75,358283
256,358283
256.25,358283
256.5,358283
256.75,358283
257,358283
257.25,358283
257.5,358283
257.75,358283
258,358283
258.25,358283
258.5,358283
258.75,358283
259,358283
259.25,358283
259.5,358283
259.75,358283
260,358283
260.25,358283
260.5,358283
260.75,358283
261,358283
261.25,358283
261.5,358283
261.75,358283
262,358283
262.25,358283
262.5,358283
262.75,358283
263,358283
263.25,358283
263.5,358283
263.75,358283
264,358283
264.25,358283
264.5,358283
264.75,358283
265,358283
265.25,358283
265.5,358283
265.75,358283
266,358283
266.25,358283
266.5,358283
266.75,358283
267,358283
267.25,358283
267.5,358283
267.75,358283
268,358283
268.25,358283
268.5,358283
268.75,358283
269,358283
269.25,358283
269.5,358283
269.75,358283
270,358283
270.25,358283
270.5,358283
270.75,358283
271,358283
271.25,358283
271.5,358283
271.75,358283
272,358283
272.25,358283
272.5,358283
272.75,358283
273,358283
273.25,358283
273.5,358283
273.75,358283
274,358283
274.25,358283
274.5,358283
274.75,358283
275,358283
275.25,358283
275.5,358283
275.75,358283
276,358283
276.25,358283
276.5,358283
276.75,358283
277,358283
277.25,358283
277.5,358283
277.75,358283
278,358283
278.25,358283
278.5,358283
278.75,358283
279,358283
279.25,358283
279.5,358283
279.75,358283
280,358283
280.25,358283
280.5,358283
280.75,358283
281,358283
281.25,358283
281.5,358283
281.75,358283
282,358283
282.25,358283
282.5,358283
282.75,358283
283,358283
283.25,358283
283.5,358283
283.75,358283
284,358283
284.25,358283
284.5,358283
284.75,358283
285,358283
285.25,358283
285.5,358283
285.75,358283
286,358283
286.25,358283
286.5,358283
286.75,358283
287,358283
287.25,358283
287.5,358283
287.75,358283
288,358283
288.25,358283
288.5,358283
288.75,358283
289,358283
289.25,358283
289.5,358283
289.75,358283
290,358283
290.25,358283
290.5,358283
290.75,358283
291,358283
291.25,358283
291.5,358283
291.75,358283
292,358283
292.25,358283
292.5,358283
292.75,358283
293,358283
293.25,358283
293.5,358283
293.75,358283
294,358283
294.25,358283
294.5,358283
294.75,358283
295,358283
295.25,358283
295.5,358283
295.75,358283
296,358283
296.25,358283
296.5,358283
