Time,cumulative_mean_fraction_lambda_C
293,0.210131
293.25,0.210131
293.5,0.210131
293.75,0.210131
294,0.210131
294.25,0.210131
294.5,0.210131
294.75,0.210131
295,0.210131
295.25,0.210131
295.5,0.210131
295.75,0.210131
296,0.210131
296.25,0.210131
296.5,0.210131
296.75,0.210131
297,0.210131
297.25,0.210131
297.5,0.210131
297.75,0.210131
298,0.210131
298.25,0.210131
298.5,0.210131
298.75,0.210131
299,0.210131
299.25,0.210131
299.5,0.210131
299.75,0.210131
300,0.210131
300.25,0.210131
300.5,0.210131
300.75,0.210131
301,0.210131
301.25,0.210131
301.5,0.210131
301.75,0.210131
302,0.210131
302.25,0.210131
302.5,0.210131
302.75,0.210131
303,0.210131
303.25,0.210131
303.5,0.210131
303.75,0.210131
304,0.210131
304.25,0.210131
304.5,0.210131
304.75,0.210131
305,0.210131
305.25,0.210131
305.5,0.210131
305.75,0.210131
306,0.210131
306.25,0.210131
306.5,0.210131
306.75,0.210131
307,0.210131
307.25,0.210131
307.5,0.210131
307.75,0.210131
308,0.210131
308.25,0.210131
308.5,0.210131
308.75,0.210131
309,0.210131
309.25,0.210131
309.5,0.210131
309.75,0.210131
310,0.210131
310.25,0.210131
310.5,0.210131
310.75,0.210131
311,0.210131
311.25,0.210131
311.5,0.210131
311.75,0.210131
312,0.210131
312.25,0.210131
312.5,0.210131
312.75,0.210131
313,0.210131
313.25,0.210131
313.5,0.210131
313.75,0.210131
314,0.210131
314.25,0.210131
314.5,0.210131
314.75,0.210131
315,0.210131
315.25,0.210131
315.5,0.210131
315.75,0.210131
316,0.210131
316.25,0.210131
316.5,0.210131
316.75,0.210131
317,0.210131
317.25,0.210131
317.5,0.210131
317.75,0.210131
318,0.210131
318.25,0.210131
318.5,0.210131
318.75,0.210131
319,0.210131
319.25,0.210131
319.5,0.210131
319.75,0.210131
320,0.210131
320.25,0.210131
320.5,0.210131
320.75,0.210131
321,0.210131
321.25,0.210131
321.5,0.210131
321.75,0.210131
322,0.210131
322.25,0.210131
322.5,0.210131
322.75,0.210131
323,0.210131
323.25,0.210131
323.5,0.210131
323.75,0.210131
324,0.210131
324.25,0.210131
324.5,0.210131
324.75,0.210131
325,0.210131
325.25,0.210131
325.5,0.210131
325.75,0.210131
326,0.210131
326.25,0.210131
326.5,0.210131
326.75,0.210131
327,0.210131
327.25,0.210131
327.5,0.210131
327.75,0.210131
328,0.210131
328.25,0.210131
328.5,0.210131
328.75,0.210131
329,0.210131
329.25,0.210131
329.5,0.210131
329.75,0.210131
330,0.210131
330.25,0.210131
330.5,0.210131
330.75,0.210131
331,0.210131
331.25,0.210131
331.5,0.210131
331.75,0.210131
332,0.210131
332.25,0.210131
332.5,0.210131
332.75,0.210131
333,0.210131
333.25,0.210131
333.5,0.210131
333.75,0.210131
334,0.210131
334.25,0.210131
334.5,0.210131
334.75,0.210131
335,0.210131
335.25,0.210131
335.5,0.210131
335.75,0.210131
336,0.210131
336.25,0.210131
336.5,0.210131
336.75,0.210131
337,0.210131
337.25,0.210131
337.5,0.210131
337.75,0.210131
338,0.210131
338.25,0.210131
338.5,0.210131
338.75,0.210131
339,0.210131
339.25,0.210131
339.5,0.210131
339.75,0.210131
340,0.210131
340.25,0.210131
340.5,0.210131
340.75,0.210131
341,0.210131
341.25,0.210131
341.5,0.210131
341.75,0.210131
342,0.210131
342.25,0.210131
342.5,0.210131
342.75,0.210131
343,0.210131
343.25,0.210131
343.5,0.210131
343.75,0.210131
344,0.210131
344.25,0.210131
344.5,0.210131
344.75,0.210131
345,0.210131
345.25,0.210131
345.5,0.210131
345.75,0.210131
346,0.210131
346.25,0.210131
346.5,0.210131
346.75,0.210131
347,0.210131
347.25,0.210131
347.5,0.210131
347.75,0.210131
348,0.210131
348.25,0.210131
348.5,0.210131
348.75,0.210131
349,0.210131
349.25,0.210131
349.5,0.210131
349.75,0.210131
350,0.210131
350.25,0.210131
350.5,0.210131
350.75,0.210131
351,0.210131
351.25,0.210131
351.5,0.210131
351.75,0.210131
352,0.210131
352.25,0.210131
352.5,0.210131
352.75,0.210131
353,0.210131
353.25,0.210131
353.5,0.210131
353.75,0.210131
354,0.210131
354.25,0.210131
354.5,0.210131
354.75,0.210131
355,0.210131
355.25,0.210131
355.5,0.210131
355.75,0.210131
356,0.210131
356.25,0.210131
356.5,0.210131
356.75,0.210131
357,0.210131
357.25,0.210131
357.5,0.210131
357.75,0.210131
358,0.210131
358.25,0.210131
358.5,0.210131
358.75,0.210131
359,0.210131
359.25,0.210131
359.5,0.210131
359.75,0.210131
360,0.210131
360.25,0.210131
360.5,0.210131
360.75,0.210131
361,0.210131
361.25,0.210131
361.5,0.210131
361.75,0.210131
362,0.210131
362.25,0.210131
362.5,0.210131
362.75,0.210131
363,0.210131
363.25,0.210131
363.5,0.210131
363.75,0.210131
364,0.210131
364.25,0.210131
364.5,0.210131
364.75,0.210131
